FMID,start,end,zip
1007809,2016-04-30,2016-11-20,55101
1004429,2013-05-28,2013-10-01,68508
1012278,2016-10-01,2017-05-27,33701
1011940,2016-04-30,2016-10-29,46360
1011217,2015-07-09,2015-09-03,14611
1005803,2013-04-13,2013-10-26,28001
1011758,2016-07-07,2016-10-06,44705
1000155,2013-05-04,2013-08-31,39759
1001522,2014-05-14,2014-11-12,21201
1000361,2015-05-22,2015-10-09,50247
1010555,2014-01-01,2014-12-31,27603
1000082,2013-01-01,2013-12-31,10004
1000094,2013-06-15,2013-11-23,10314
1004682,2013-04-03,2013-11-23,24401
1010480,2016-05-07,2016-10-29,46703
1002656,2013-05-01,2013-10-31,54481
1011975,2016-06-18,2016-10-08,98648
1001749,2014-06-14,2014-10-25,55082
1006353,2015-09-05,2015-11-21,74075
1006352,2015-04-04,2015-08-29,74074
1008850,2015-11-28,2016-03-26,74075
1000722,2013-05-01,2013-10-30,95201
1009788,2014-05-01,2014-10-15,72560
1012424,2016-04-19,2016-11-22,30083
1010057,2014-01-01,2014-12-31,37130
1012534,2016-01-01,2016-12-31,94132
1010309,2014-07-05,2014-10-25,10980
1011240,2015-06-13,2015-10-03,44224
1001221,2014-07-09,2014-09-10,54484
1012473,2016-06-04,2016-10-29,61364
1001052,2012-05-01,2012-10-31,24171
1003436,2014-06-01,2014-10-31,54235
1000077,2013-04-21,2013-12-22,10009
1012116,2016-04-30,2016-11-19,23434
1000186,2015-07-10,2015-10-16,84106
1000699,2013-05-17,2013-10-25,45459
1004864,2013-06-04,2013-11-05,20746
1008736,2013-05-04,2013-10-26,63080
1007812,2013-05-01,2013-08-31,70664
1008257,2014-04-12,2014-12-20,29483
1011279,2015-05-23,2015-10-14,12175
1011885,2016-06-28,2016-10-04,44311
1012659,2016-10-06,2017-05-25,85351
1009742,2013-10-12,2014-05-10,85375
1011691,2016-11-05,2017-04-29,53590
1001218,2016-05-07,2016-10-29,53590
1009739,2013-10-24,2014-05-26,85249
1010978,2015-05-03,2015-10-25,23060
1012530,2016-01-01,2016-12-31,94903
